colony,head_width,source
17-35,1260,dead
17-35,1129,dead
17-35,1030,dead
17-35,1286,dead
17-35,933,dead
17-35,1182,dead
17-35,1000,dead
17-35,987,dead
17-35,1195,dead
17-35,1013,dead
17-35,1180,dead
17-35,1156,dead
17-35,1123,dead
17-35,1196,dead
17-35,1122,dead
17-35,1144,dead
17-35,1185,dead
17-35,1149,dead
17-35,1111,dead
17-35,1065,dead
17-35,1190,dead
17-35,1095,dead
17-35,1135,dead
17-35,1183,dead
17-35,1187,dead
17-35,1115,dead
17-35,1412,dead
17-35,954,dead
17-35,1162,dead
17-35,1276,dead
17-35,1252,dead
17-35,1229,dead
17-35,1265,dead
17-35,1046,dead
19-3,1153,foragers
19-3,1125,foragers
19-3,1062,foragers
19-3,1234,foragers
19-3,1038,foragers
19-3,1283,foragers
19-3,1177,foragers
19-3,1198,foragers
19-3,1016,foragers
19-3,1036,foragers
19-3,1187,foragers
19-3,1106,foragers
19-3,1109,foragers
19-3,1213,foragers
19-3,1046,foragers
19-3,1097,foragers
19-3,1122,foragers
19-8,1459,foragers
19-8,1162,foragers
19-8,1261,foragers
19-8,1363,foragers
19-8,1054,foragers
19-8,1376,foragers
19-8,1134,foragers
19-8,1439,foragers
19-8,1277,foragers
19-8,1213,foragers
19-8,1268,foragers
19-8,1355,foragers
19-8,1480,foragers
19-8,1187,foragers
19-8,1189,foragers
19-8,1105,foragers
19-8,1139,foragers
19-8,1144,foragers
19-8,1106,foragers
19-8,1011,foragers
19-8,1451,foragers
19-8,1223,foragers
19-8,1397,foragers
19-8,1227,foragers
19-7,1019,foragers
19-7,1226,foragers
19-7,1040,foragers
19-7,1327,foragers
19-7,1111,foragers
19-7,1044,foragers
19-7,1098,foragers
19-7,947,foragers
19-7,1143,foragers
19-7,1045,foragers
19-7,1126,foragers
19-1,1176,foragers
19-1,1105,foragers
19-1,1081,foragers
19-1,1129,foragers
19-1,1152,foragers
19-1,1104,foragers
19-1,1160,foragers
19-1,1156,foragers
19-1,1094,foragers
19-1,1061,foragers
19-1,1038,foragers
19-1,1124,foragers
19-1,1143,foragers
19-1,1115,foragers
19-1,1035,foragers
19-1,1140,foragers
19-1,1053,foragers
19-1,942,foragers
19-1,1081,foragers
19-5,937,foragers
19-5,1066,foragers
19-5,963,foragers
19-5,1059,foragers
19-5,1038,foragers
19-5,987,foragers
19-5,1128,foragers
19-5,1060,foragers
19-5,1152,foragers
19-5,1098,foragers
19-5,991,foragers
19-5,1007,foragers
19-5,1223,foragers
19-5,1107,foragers
19-5,1074,foragers
19-5,1051,foragers
19-5,1173,foragers
19-5,1091,foragers
19-2,1076,foragers
19-2,1090,foragers
19-2,1331,foragers
19-2,1240,foragers
19-2,1214,foragers
19-2,1184,foragers
19-2,1092,foragers
19-2,1202,foragers
19-2,1180,foragers
19-2,1211,foragers
19-2,1161,foragers
19-2,1305,foragers
19-2,1220,foragers
19-2,1102,foragers
19-2,1216,foragers
19-2,1209,foragers
19-2,1229,foragers
19-2,1195,foragers
19-2,1147,foragers
19-2,1075,foragers
19-15,1249,foragers
19-15,1270,foragers
19-15,1490,foragers
19-15,1186,foragers
19-15,1043,foragers
19-15,1017,foragers
19-15,1352,foragers
19-15,1069,foragers
19-15,1345,foragers
19-15,1109,foragers
19-15,1259,foragers
19-15,1316,foragers
19-15,1503,foragers
19-15,1280,foragers
19-15,1152,foragers
19-15,1381,foragers
19-15,1200,foragers
19-15,1338,foragers
19-15,1332,foragers
19-15,1185,foragers
19-15,1294,foragers
19-15,1242,foragers
19-11,1004,foragers
19-11,1031,foragers
19-11,1072,foragers
19-11,969,foragers
19-11,1109,foragers
19-11,1101,foragers
19-11,1076,foragers
19-11,1201,foragers
19-11,1117,foragers
19-11,1139,foragers
19-11,1017,foragers
19-11,1127,foragers
19-11,1139,foragers
19-9,922,foragers
19-9,1010,foragers
19-9,966,foragers
19-9,996,foragers
19-9,993,foragers
19-9,935,foragers
19-9,974,foragers
19-9,990,foragers
19-9,980,foragers
19-9,1027,foragers
19-9,1028,foragers
19-9,951,foragers
19-9,1090,foragers
19-9,974,foragers
19-9,956,foragers
19-9,1009,foragers
19-14,1124,foragers
19-14,1187,foragers
19-14,1095,foragers
19-14,1125,foragers
19-14,1107,foragers
19-14,1124,foragers
19-14,1252,foragers
19-14,1045,foragers
19-14,1344,foragers
19-14,1111,foragers
19-14,1105,foragers
19-14,1162,foragers
19-14,1096,foragers
19-14,1037,foragers
19-14,1220,foragers
19-14,1130,foragers
19-14,1139,foragers
19-14,1236,foragers
19-14,1193,foragers
19-14,1159,foragers
19-14,1119,foragers
19-12,1186,foragers
19-12,1185,foragers
19-12,1219,foragers
19-12,1053,foragers
19-12,1045,foragers
19-12,1161,foragers
19-12,1020,foragers
19-12,1151,foragers
19-4,1423,foragers
19-4,1320,foragers
19-4,1375,foragers
19-4,1322,foragers
19-4,1308,foragers
19-4,1404,foragers
19-4,1354,foragers
19-4,1319,foragers
19-4,1361,foragers
19-4,1317,foragers
19-4,1357,foragers
19-4,1366,foragers
19-13,1000,foragers
19-13,1160,foragers
19-13,1074,foragers
19-13,1044,foragers
19-13,1140,foragers
19-17,1349,foragers
20-21,1391,foragers
20-21,1241,foragers
20-21,1301,foragers
20-21,1246,foragers
20-21,1412,foragers
20-21,1243,foragers
20-21,1357,foragers
20-21,1300,foragers
20-21,1168,foragers
20-21,1384,foragers
20-21,1410,foragers
20-21,1296,foragers
20-21,1357,foragers
20-21,1387,foragers
20-21,1369,foragers
20-21,1290,foragers
20-21,1062,foragers
20-21,1474,foragers
20-21,1118,foragers
20-3,1159,foragers
20-3,918.696,foragers
20-3,1142,foragers
20-3,1122,foragers
20-3,1096,foragers
20-3,1157,foragers
20-3,1047,foragers
20-3,1146,foragers
20-3,1103,foragers
20-3,1096,foragers
20-3,1121,foragers
20-23,1072,foragers
20-23,1140,foragers
20-23,1045,foragers
20-23,1124,foragers
20-23,1046,foragers
20-23,1057,foragers
20-23,1191,foragers
20-23,1064,foragers
20-23,1044,foragers
20-23,1042,foragers
20-23,1130,foragers
20-23,1089,foragers
20-23,1163,foragers
20-23,1253,foragers
20-23,1126,foragers
20-23,1087,foragers
20-23,1243,foragers
20-23,1049,foragers
20-23,990.007,foragers
20-23,1116,foragers
20-23,1077,foragers
20-12,964.358,foragers
20-12,1502,foragers
20-12,1049,foragers
20-12,1424,foragers
20-12,1030,foragers
20-12,1055,foragers
20-12,1075,foragers
20-12,1367,foragers
20-12,1468,foragers
20-12,1421,foragers
20-12,1433,foragers
20-12,1056,foragers
20-12,1334,foragers
20-12,1458,foragers
20-12,1178,foragers
20-12,1298,foragers
20-12,1039,foragers
20-12,1202,foragers
20-12,1245,foragers
20-4,1185,foragers
20-4,1094,foragers
20-4,1243,foragers
20-4,1071,foragers
20-4,1132,foragers
20-4,1219,foragers
20-4,1249,foragers
20-4,1206,foragers
20-4,1076,foragers
20-4,1078,foragers
20-4,1072,foragers
20-4,1153,foragers
20-4,1293,foragers
20-4,1294,foragers
20-4,1347,foragers
20-4,1332,foragers
20-4,1039,foragers
20-4,1263,foragers
20-4,1130,foragers
20-4,1224,foragers
20-17,1043,foragers
20-17,1037,foragers
20-17,1029,foragers
20-17,1042,foragers
20-17,1043,foragers
20-17,1046,foragers
20-17,1094,foragers
20-17,1053,foragers
20-17,1055,foragers
20-17,1071,foragers
20-17,1116,foragers
20-17,1043,foragers
20-17,1105,foragers
20-17,1090,foragers
20-17,1039,foragers
20-17,1027,foragers
20-17,1241,foragers
20-17,983.088,foragers
20-17,1038,foragers
20-17,1076,foragers
20-17,1087,foragers
20-17,1191,foragers
20-17,1289,foragers
20-17,1064,foragers
20-17,967.449,foragers
20-17,1142,foragers
20-20,1458,foragers
20-20,1284,foragers
20-20,1264,foragers
20-20,1073,foragers
20-20,1476,foragers
20-20,1024,foragers
20-20,1188,foragers
20-20,1188,foragers
20-20,1469,foragers
20-20,1319,foragers
20-20,1562,foragers
20-20,1345,foragers
20-20,1277,foragers
20-20,1446,foragers
20-20,1452,foragers
20-20,1073,foragers
20-20,1513,foragers
20-20,990.503,foragers
20-20,1423,foragers
20-20,1502,foragers
20-20,1248,foragers
20-20,1082,foragers
20-20,1537,foragers
20-20,1388,foragers
20-5,1019,foragers
20-5,1130,foragers
20-5,1112,foragers
20-5,991.588,foragers
20-5,1143,foragers
20-5,1046,foragers
20-5,1212,foragers
20-5,1067,foragers
20-5,1108,foragers
20-5,1121,foragers
20-5,1099,foragers
20-5,1201,foragers
20-5,1046,foragers
20-5,1170,foragers
20-5,1139,foragers
20-5,1140,foragers
20-5,1181,foragers
20-5,1144,foragers
20-5,1088,foragers
20-5,1068,foragers
20-15,1132,foragers
20-15,1302,foragers
20-15,1229,foragers
20-15,1331,foragers
20-15,1327,foragers
20-15,1086,foragers
20-15,1139,foragers
20-15,1189,foragers
20-15,1230,foragers
20-15,1057,foragers
20-15,1105,foragers
20-15,1040,foragers
20-15,1302,foragers
20-15,1017,foragers
20-15,1393,foragers
20-15,1262,foragers
20-15,1531,foragers
20-15,1452,foragers
20-15,1196,foragers
20-14,1409,foragers
20-14,1263,foragers
20-14,1341,foragers
20-14,1077,foragers
20-14,1304,foragers
20-14,1189,foragers
20-14,1243,foragers
20-14,945.2,foragers
20-14,1091,foragers
20-14,1235,foragers
20-14,1155,foragers
20-14,1315,foragers
20-14,1084,foragers
20-14,1413,foragers
20-14,1301,foragers
20-14,1173,foragers
20-14,1363,foragers
20-14,1414,foragers
20-14,1068,foragers
20-14,1198,foragers
20-14,1219,foragers
20-2,1093,foragers
20-2,1155,foragers
20-2,1052,foragers
20-2,1264,foragers
20-2,1067,foragers
20-2,1060,foragers
20-2,1098,foragers
20-2,1030,foragers
20-2,1128,foragers
20-2,1029,foragers
20-2,961.571,foragers
20-2,1130,foragers
20-2,1043,foragers
20-2,1117,foragers
20-2,996.567,foragers
20-2,1041,foragers
20-2,990.856,foragers
20-2,984.339,foragers
20-18,1236,foragers
20-18,1038,foragers
20-18,1248,foragers
20-18,1026,foragers
20-18,1093,foragers
20-18,1285,foragers
20-18,1138,foragers
20-18,991.69,foragers
20-18,1012,foragers
20-18,1126,foragers
20-18,1207,foragers
20-18,1040,foragers
20-18,1013,foragers
20-18,1016,foragers
20-18,1236,foragers
20-18,1115,foragers
20-18,1066,foragers
20-18,1211,foragers
20-8,1140,foragers
20-8,1262,foragers
20-8,1130,foragers
20-8,1232,foragers
20-8,1137,foragers
20-8,1102,foragers
20-8,1124,foragers
20-8,1306,foragers
20-8,1153,foragers
20-8,1269,foragers
20-8,1161,foragers
20-8,1362,foragers
20-8,1227,foragers
20-8,1360,foragers
20-8,1203,foragers
20-8,1113,foragers
20-9,1138,foragers
20-9,1349,foragers
20-9,1068,foragers
20-9,1367,foragers
20-9,1228,foragers
20-9,1469,foragers
20-9,1254,foragers
20-9,1392,foragers
20-9,1419,foragers
20-9,1274,foragers
20-9,1430,foragers
20-9,1109,foragers
20-9,1261,foragers
20-9,1210,foragers
20-13,1204,foragers
20-13,1233,foragers
20-13,1163,foragers
20-13,1085,foragers
20-13,1149,foragers
20-13,1211,foragers
20-13,1228,foragers
20-13,1148,foragers
20-13,1079,foragers
20-13,1233,foragers
20-13,1349,foragers
20-13,1174,foragers
20-13,1077,foragers
20-13,1232,foragers
20-13,1062,foragers
20-13,1160,foragers
18-37,1130,foragers
18-37,1377,foragers
18-37,1236,foragers
18-37,1355,foragers
18-37,1260,foragers
18-37,1435,foragers
18-37,1150,foragers
18-37,1287,foragers
18-37,1165,foragers
18-37,1307,foragers
18-37,1193,foragers
18-37,1156,foragers
18-37,1239,foragers
18-37,1332,foragers
18-37,1335,foragers
18-37,1232,foragers
18-37,1188,foragers
18-37,1299,foragers
18-37,1065,foragers
18-37,1342,foragers
18-37,1149,foragers
18-37,1101,foragers
18-37,1275,foragers
18-37,1173,foragers
18-37,1219,foragers
18-37,1306,foragers
18-37,1211,foragers
18-37,1389,foragers
18-37,1213,foragers
18-37,1286,foragers
18-37,1272,foragers
18-37,1101,foragers
18-13,1251,foragers
18-13,1221,foragers
18-13,1262,foragers
18-13,1204,foragers
18-13,1258,foragers
18-13,1272,foragers
18-13,1083,foragers
18-13,1081,foragers
18-13,1174,foragers
18-13,1296,foragers
18-13,1333,foragers
18-13,1070,foragers
18-13,1305,foragers
18-13,1245,foragers
18-40,1328,foragers
18-40,1285,foragers
18-40,1219,foragers
18-40,1392,foragers
18-40,1234,foragers
18-40,1273,foragers
18-40,1229,foragers
18-40,1215,foragers
18-27,1447,foragers
18-27,1451,foragers
18-27,1284,foragers
18-27,1261,foragers
18-27,1318,foragers
18-27,1381,foragers
18-27,1189,foragers
18-27,1174,foragers
18-27,1301,foragers
18-27,1408,foragers
18-27,1374,foragers
18-27,1429,foragers
18-27,1367,foragers
18-47,1378,foragers
18-47,1175,foragers
18-47,1313,foragers
18-47,1284,foragers
18-47,1214,foragers
18-47,1294,foragers
18-47,1181,foragers
18-47,1257,foragers
18-47,1209,foragers
18-47,1287,foragers
18-47,1270,foragers
18-47,1347,foragers
18-49,1348,foragers
18-49,1415,foragers
